ASIN,内容,_text,_score,_group,_id,sentiment,sentiment_conf,cluster_id
美食,包了一辆车来潮州古城玩一天，古城非常漂亮，步行街卖很多当地特产，主要是老香黄，老药桔，腐乳饼，鸭母稔，春卷。。司机很好，带我去各种当地美食店，非常棒，,包了一辆车来潮州古城玩一天，古城非常漂亮，步行街卖很多当地特产，主要是老香黄，老药桔，腐乳饼，鸭母稔，春卷。。司机很好，带我去各种当地美食店，非常棒，,,美食,0,positive,0.9995779395103455,1
古城,来到潮洲的第一站，在面停留了两个钟左右，因为是周三，参观的人不多，很多店子都关了门，我们边走边吃，感受一下古人在古城的生活,来到潮洲的第一站，在面停留了两个钟左右，因为是周三，参观的人不多，很多店子都关了门，我们边走边吃，感受一下古人在古城的生活,,古城,1,positive,0.9988179802894592,14
古城,"潮州城城墙之上, 虽未能环城连结, 但也是个能远眺韩江两岸的好地方. 城墙古色古乡, 但也有修葺, 高处能感清凉.不过建议不要在正午烈日之下游览, 阳光也许会过猛.","潮州城城墙之上, 虽未能环城连结, 但也是个能远眺韩江两岸的好地方. 城墙古色古乡, 但也有修葺, 高处能感清凉.不过建议不要在正午烈日之下游览, 阳光也许会过猛.",,古城,2,positive,0.9989978671073914,8
环境,古城墙范围不大也不怎么宏伟， 但周遭有很多如开元寺等的有名景观， 牌楼， 小吃街名产店林立， 是很明显的大地标， 所有潮州有名的景点名胜几乎都在附近。,古城墙范围不大也不怎么宏伟， 但周遭有很多如开元寺等的有名景观， 牌楼， 小吃街名产店林立， 是很明显的大地标， 所有潮州有名的景点名胜几乎都在附近。,,环境,3,positive,0.9957668781280518,12
古城,很多地方的古城商业化都很严重，潮州古城也不例外，听当地人说以前的牌坊都没能保留下来，现在我们看到的只是新盖的，虽然有翻新，也只有这古城墙保留了古老的气息。,很多地方的古城商业化都很严重，潮州古城也不例外，听当地人说以前的牌坊都没能保留下来，现在我们看到的只是新盖的，虽然有翻新，也只有这古城墙保留了古老的气息。,,古城,4,positive,0.9981064796447754,12
古城,潮州市，是一座依然有保留古时城墙的古城市，亦因为有古城的存在，令大家知道，潮州不是只有食，也不是只有李嘉诚。潮州是一座小城，所以我们见到的城墙，不算高大宏伟，相信，古时的江南、越国一带比较和平，建城也许是因为要防海贼而已。城墙保存得最好，也许只是保留了向韩江的一边，最高的，也是广济门，其他的地方，若有保留，都是一些乱石墙。不过，有保存是好，城池，绝对是中国人必须保留的古建筑之一。,潮州市，是一座依然有保留古时城墙的古城市，亦因为有古城的存在，令大家知道，潮州不是只有食，也不是只有李嘉诚。潮州是一座小城，所以我们见到的城墙，不算高大宏伟，相信，古时的江南、越国一带比较和平，建城也许是因为要防海贼而已。城墙保存得最好，也许只是保留了向韩江的一边，最高的，也是广济门，其他的地方，若有保留，都是一些乱石墙。不过，有保存是好，城池，绝对是中国人必须保留的古建筑之一。,,古城,5,positive,0.9994599223136902,11
古城,"古老,有老城墙的味道. 来潮州你必须走一次.站在城楼上,你俯览整条韩江..看到那江水滔滔,心中自是舒畅.然后听着潮乐曲更是一种极好的听视觉盛宴....非常有气势的.........你值得拥有君临天下的威风.","古老,有老城墙的味道. 来潮州你必须走一次.站在城楼上,你俯览整条韩江..看到那江水滔滔,心中自是舒畅.然后听着潮乐曲更是一种极好的听视觉盛宴....非常有气势的.........你值得拥有君临天下的威风.",,古城,6,positive,0.9868313074111938,19
古城,历史感很强的古府城墙，是宋代时期的建筑，在相关人员的保护下，依旧保存的很完整。下面是一条繁华的街道。在这里看风景是绝佳选择，登上城楼，可以看到各个角度的不同风景。美丽的湘桥，波涛澎湃的韩江，一切美景都尽收眼底。,历史感很强的古府城墙，是宋代时期的建筑，在相关人员的保护下，依旧保存的很完整。下面是一条繁华的街道。在这里看风景是绝佳选择，登上城楼，可以看到各个角度的不同风景。美丽的湘桥，波涛澎湃的韩江，一切美景都尽收眼底。,,古城,7,positive,0.9988740086555481,12
美食,古城街道  整洁  街道到处都有小吃  摩托车也多，我们中午在潮州的古城美食府，晚上在连华素食吃斋，每款食物都别有一番风味,古城街道  整洁  街道到处都有小吃  摩托车也多，我们中午在潮州的古城美食府，晚上在连华素食吃斋，每款食物都别有一番风味,,美食,8,positive,0.9997754693031311,1
古城,在潮州老城墙基础上进行了修缮，保留了古城墙的主要风格。就在韩江边上，风景很好，而且不需门票，是潮州打造的韩江风景带的重要组成部分。,在潮州老城墙基础上进行了修缮，保留了古城墙的主要风格。就在韩江边上，风景很好，而且不需门票，是潮州打造的韩江风景带的重要组成部分。,,古城,9,positive,0.9972833395004272,12
