景点名称,用户昵称,用户ID链接,评星,评分,评论文本,评论时间,点赞数,回应数,_text,_score,_group,_id,sentiment,sentiment_conf
永庆坊,一plus一,https://www.dianping.com/member/35455078,4.0,设施：4.0；环境：4.0；服务：4.0；,"永庆坊位于广州市荔湾区西关核心区，是广州历史文化的核心区域，承载着丰富的历史文化内涵。
永庆坊是广州保存最为完整的骑楼建筑群和中西合璧风格的民国建筑的代表。这里的建筑融合了岭南风格与传统手工，展现了广州独特的城市风貌。有许多手绘墙和特色文艺店铺，这里曾是许多历史人物的故居，如李小龙祖居、詹天佑纪念馆等。
这里汇聚了粤剧曲艺、武术医药、手工印章雕刻、剪纸、西关打铜、广彩、广绣等非物质文化遗产，可以在这里深入了解广州的历史文化和传统工艺。",2024-07-25 11:07,0,0,"永庆坊位于广州市荔湾区西关核心区，是广州历史文化的核心区域，承载着丰富的历史文化内涵。
永庆坊是广州保存最为完整的骑楼建筑群和中西合璧风格的民国建筑的代表。这里的建筑融合了岭南风格与传统手工，展现了广州独特的城市风貌。有许多手绘墙和特色文艺店铺，这里曾是许多历史人物的故居，如李小龙祖居、詹天佑纪念馆等。
这里汇聚了粤剧曲艺、武术医药、手工印章雕刻、剪纸、西关打铜、广彩、广绣等非物质文化遗产，可以在这里深入了解广州的历史文化和传统工艺。",设施：4.0；环境：4.0；服务：4.0；,,0,positive,0.7154805660247803
永庆坊,箜灵_4774,https://www.dianping.com/member/1275545832,5.0,设施：5.0；环境：5.0；服务：5.0；,"整体风格偏民国，偶尔搭配些古建筑，有点闽南特色但又不全像，墙体都是火砖平砌而出，裸露展示，色彩搭配很有当时历史带入的南洋特色。
西关骑楼。
月亮桥拍了，找到图上圆拱桥，虽肉眼看不出，但是用手机调成夜景模式就能拍出来。
我是临时出差走马观花，还有李小龙故居没来的及去逛。大家有兴趣记得预留好时间。",2024-08-22 01:56,0,0,"整体风格偏民国，偶尔搭配些古建筑，有点闽南特色但又不全像，墙体都是火砖平砌而出，裸露展示，色彩搭配很有当时历史带入的南洋特色。
西关骑楼。
月亮桥拍了，找到图上圆拱桥，虽肉眼看不出，但是用手机调成夜景模式就能拍出来。
我是临时出差走马观花，还有李小龙故居没来的及去逛。大家有兴趣记得预留好时间。",设施：5.0；环境：5.0；服务：5.0；,,1,negative,0.796620786190033
永庆坊,amyying66,https://www.dianping.com/member/7496249,4.0,设施：4.0；环境：4.0；服务：4.0；,这边商铺的种类很多，有莲香楼，也有钟书阁，物质与精神并重。可惜来的时候是周一，粤剧文化博物馆太赞了，光是建筑就美得让人流连忘返，听说里面亭台楼阁外还有舞台表演，错过真是好可惜。李小龙博物馆逛一下也不错，了解一下成长足迹。,2024-08-19 16:14,0,0,这边商铺的种类很多，有莲香楼，也有钟书阁，物质与精神并重。可惜来的时候是周一，粤剧文化博物馆太赞了，光是建筑就美得让人流连忘返，听说里面亭台楼阁外还有舞台表演，错过真是好可惜。李小龙博物馆逛一下也不错，了解一下成长足迹。,设施：4.0；环境：4.0；服务：4.0；,,2,positive,0.9074696898460388
永庆坊,椰子很可爱,https://www.dianping.com/member/45250308,5.0,设施：5.0；环境：5.0；服务：5.0；,永庆坊是类似于北京南锣鼓巷的商业街，两侧都是各种小店，有特色的广东骑楼。街道各种灯笼装饰，很可爱，特别适合各种拍照，拍拍拍。还可以买到好看的纪念品。这里还有李小龙故居，晚上来能拍到月亮桥，白天就没有特意去。,2024-08-17 20:45,0,0,永庆坊是类似于北京南锣鼓巷的商业街，两侧都是各种小店，有特色的广东骑楼。街道各种灯笼装饰，很可爱，特别适合各种拍照，拍拍拍。还可以买到好看的纪念品。这里还有李小龙故居，晚上来能拍到月亮桥，白天就没有特意去。,设施：5.0；环境：5.0；服务：5.0；,,3,positive,0.6484425663948059
永庆坊,mei,https://www.dianping.com/member/1112413062,5.0,设施：4.5；环境：4.5；服务：4.5；,一位对武术有着深厚感情的游客，他的旅行计划是访问一代宗师李小龙的故居，能更深入地了解李小龙的生活和他的武术哲学,2024-08-09 17:11,16,4,一位对武术有着深厚感情的游客，他的旅行计划是访问一代宗师李小龙的故居，能更深入地了解李小龙的生活和他的武术哲学,设施：4.5；环境：4.5；服务：4.5；,,4,positive,0.9566702246665955
永庆坊,匿名用户,匿名用户,4.0,设施：3.5；环境：4.0；服务：3.5；,广州市著名的文化历史街区，其中🈶李小龙故居，暑假期间人气不足。,2024-08-07 18:41,0,0,广州市著名的文化历史街区，其中🈶李小龙故居，暑假期间人气不足。,设施：3.5；环境：4.0；服务：3.5；,,5,positive,0.6160683631896973
永庆坊,anniellw,https://www.dianping.com/member/6504836,4.5,设施：4.5；环境：4.0；服务：4.5；,作为西关人，成长的地方，对永庆坊有着不一样的情怀。随着商家的引入，不同主题活动的开展，带着娃逛逛吃吃玩玩，也是经常去永庆坊的缘由。没去一个月，又有新旧商家的替换，不变的是非遗文化项目的坚持，希望这个也是永庆坊的根基，保持初心，越来越远！,2024-07-31 12:39,0,0,作为西关人，成长的地方，对永庆坊有着不一样的情怀。随着商家的引入，不同主题活动的开展，带着娃逛逛吃吃玩玩，也是经常去永庆坊的缘由。没去一个月，又有新旧商家的替换，不变的是非遗文化项目的坚持，希望这个也是永庆坊的根基，保持初心，越来越远！,设施：4.5；环境：4.0；服务：4.5；,,6,positive,0.9104570746421814
永庆坊,他是里奥,https://www.dianping.com/member/1930243945,5.0,设施：5.0；环境：5.0；服务：5.0；,"有这样一个街区，让大家沉浸式了解“吃货市”的历史底蕴之丰富。
去永庆坊，吃喝玩乐的同时，参观博物馆、名人故居、历史建筑。
当新旧以融合互补的方式取得平衡，当在地文化以年轻人喜爱的方式继续传承，永庆坊用自己的方式让西关老建筑重新焕发生机，也让更多人了解广州，认识广州。",2024-07-29 14:07,0,0,"有这样一个街区，让大家沉浸式了解“吃货市”的历史底蕴之丰富。
去永庆坊，吃喝玩乐的同时，参观博物馆、名人故居、历史建筑。
当新旧以融合互补的方式取得平衡，当在地文化以年轻人喜爱的方式继续传承，永庆坊用自己的方式让西关老建筑重新焕发生机，也让更多人了解广州，认识广州。",设施：5.0；环境：5.0；服务：5.0；,,7,positive,0.8835616111755371
永庆坊,罗莎喵超级赛车手,https://www.dianping.com/member/3497041857,4.5,设施：4.5；环境：4.5；服务：4.5；,"永庆坊逛吃一圈，这里是非遗哟
感觉挺好
广州市文广旅局表示，非遗街区能够让大家“见人见物见生活”，有效引导非遗资源活化利用及创新发展，推动整个片区构筑可持续发展的非遗生态系统，助力传承广州文化，传播广式风味。",2024-07-27 18:22,0,0,"永庆坊逛吃一圈，这里是非遗哟
感觉挺好
广州市文广旅局表示，非遗街区能够让大家“见人见物见生活”，有效引导非遗资源活化利用及创新发展，推动整个片区构筑可持续发展的非遗生态系统，助力传承广州文化，传播广式风味。",设施：4.5；环境：4.5；服务：4.5；,,8,positive,0.7613925933837891
永庆坊,溪嘻嘻,https://www.dianping.com/member/159648754,5.0,设施：5.0；环境：5.0；服务：5.0；,看起来挺大的一片景区，实际上走走并不大。有一片很大的粤剧艺术博物馆，不仅粤剧艺术很精美，还有很美的园林。另一片是非遗街区，长了见识，也买到了一些有特色的纪念品。,2024-07-26 21:51,0,0,看起来挺大的一片景区，实际上走走并不大。有一片很大的粤剧艺术博物馆，不仅粤剧艺术很精美，还有很美的园林。另一片是非遗街区，长了见识，也买到了一些有特色的纪念品。,设施：5.0；环境：5.0；服务：5.0；,,9,positive,0.5515958070755005
